"n_ID","Competitor1_c_Name","Competitor1_c_Result","Competitor2_c_Name","Competitor2_c_Result"
746241,"Denmark","5","Canada","10"
746263,"China","4","Sweden","6"
746236,"Norway","7","Switzerland","4"
746268,"United States","6","ROC","5"
746258,"Norway","5","Canada","6"
746267,"United States","4","Sweden","7"
746280,"China","4","ROC","7"
746270,"Great Britain","7","Italy","5"
746254,"Sweden","9","Italy","3"
746265,"Switzerland","6","ROC","3"
746266,"Denmark","4","China","5"
746261,"Great Britain","7","United States","9"
746243,"ROC","10","Denmark","2"
746259,"Great Britain","8","Norway","3"
746273,"Canada","3","Switzerland","5"
746248,"Canada","4","Sweden","7"
746257,"United States","6","Norway","7"
746235,"Italy","9","China","12"
746260,"Denmark","6","Switzerland","8"
746251,"China","6","Great Britain","7"
746276,"United States","5","Canada","10"
746281,"Italy","7","ROC","10"
746256,"Norway","4","Sweden","6"
746277,"Great Britain","8","Denmark","2"
746271,"Switzerland","4","Italy","8"
746252,"China","6","United States","8"
746272,"Canada","7","Italy","3"
746247,"ROC","5","Sweden","7"
746250,"Switzerland","5","Great Britain","6"
746245,"Denmark","6","Norway","5"
746282,"ROC","5","Norway","12"
746242,"Sweden","8","Denmark","3"
746275,"Switzerland","4","United States","7"
746278,"Canada","10","China","8"
746240,"Italy","10","United States","4"
746283,"Norway","6","China","8"
746279,"Sweden","6","Great Britain","7"
746234,"ROC","7","Canada","6"
746269,"Italy","10","Denmark","3"
746238,"China","6","Switzerland","5"
746239,"Great Britain","8","ROC","6"
746244,"Canada","2","Great Britain","5"
746237,"Norway","9","Italy","4"
746253,"Denmark","5","United States","7"
746249,"Sweden","8","Switzerland","10"
