Team,Opponent,Time In Powerplay,Powerplay Goals
CZE,CHN,6:00,0
CHN,CZE,2:47,1
CAN,SUI,5:47,2
SUI,CAN,12:19,1
SWE,JPN,4:00,0
JPN,SWE,4:00,0
FIN,USA,3:43,2
USA,FIN,5:48,1
DEN,CHN,6:00,0
CHN,DEN,6:00,0
ROC,SUI,4:51,0
SUI,ROC,7:27,1
CAN,FIN,6:00,0
FIN,CAN,10:53,0
JPN,DEN,7:38,1
DEN,JPN,6:21,1
CZE,SWE,6:00,0
SWE,CZE,9:40,0
USA,ROC,8:26,1
ROC,USA,2:00,0
CHN,JPN,0:00,0
JPN,CHN,5:14,1
SUI,USA,4:00,0
USA,SUI,7:15,1
ROC,CAN,6:00,0
CAN,ROC,10:44,3
DEN,CZE,7:39,1
CZE,DEN,9:58,0
CHN,SWE,4:45,0
SWE,CHN,0:45,0
SUI,FIN,10:36,2
FIN,SUI,2:49,1
USA,CAN,11:47,1
CAN,USA,0:36,1
JPN,CZE,6:27,2
CZE,JPN,6:00,0
SWE,DEN,4:19,2
DEN,SWE,10:55,0
FIN,ROC,5:54,3
ROC,FIN,2:38,0
