Name,Olympics Medals,FIBA World Championships,NCAA Championships,WNBA Championships,International League Championships,3x3 or Other International Championships
Sue Bird,5,5,2,4,12,0
Ariel Atkins,1,0,0,1,0,0
Tina Charles,3,3,2,0,4,0
Napheesa Collier,1,0,1,0,0,0
Skylar Diggins-Smith,1,0,0,0,0,3
Sylvia Fowles,4,1,0,2,9,0
Chelsea Gray,1,0,0,1,2,0
Brittney Griner,2,2,1,1,6,0
Jewell Loyd,2,1,0,2,0,2
Breanna Stewart,2,2,4,2,2,1
Diana Taurasi,5,4,3,3,18,0
A'ja Wilson,1,1,1,0,0,0
Coach Dawn Staley,1,1,1,0,0,5
