MatchID,Team1Name,Team1Score,Team2Name,Team2Score
746579,Czech Republic,3,China,1
746572,Canada,12,Switzerland,1
746574,Sweden,1,Japan,3
746569,Finland,2,United States,5
746570,ROC,5,Switzerland,2
746576,Denmark,1,China,3
746573,Canada,11,Finland,1
746575,Japan,6,Denmark,2
746578,Czech Republic,3,Sweden,1
746568,United States,5,ROC,0
746577,China,2,Japan,1
746571,Switzerland,0,United States,8
747024,ROC,1,Canada,6
747028,Denmark,3,Czech Republic,2
747029,China,1,Sweden,2
747025,Switzerland,3,Finland,2
747026,United States,2,Canada,4
747030,Japan,3,Czech Republic,2
747031,Sweden,3,Denmark,1
747027,Finland,5,ROC,0
747021,United States,4,Czech Republic,1
747020,Canada,11,Sweden,0
747022,ROC,2,Switzerland,4
747023,Finland,7,Japan,1
746582,Canada,0,Switzerland,0
746583,United States,NA,Finland,NA
746586,NA,NA,NA,NA
746587,NA,NA,NA,NA
